Region,Text-to-text pricing,,model,input_price,output_price,Max RPM,Max TPM
N.Virginia,Titan Embeddings - Text,N.Virginia|Titan Embeddings - Text,amazon.titan-embed-text-v1,0.1,,"2,000","300,000"
N.Virginia,Titan Embeddings V2 - Text,N.Virginia|Titan Embeddings V2 - Text,amazon.titan-embed-text-v2:0,0.02,,"2,000","300,000"
N.Virginia,Titan Embeddings - Multimodal,N.Virginia|Titan Embeddings - Multimodal,amazon.titan-embed-image-v1,0.8,0.06,"2,000","300,000"
N.Virginia,Cohere Embed English,N.Virginia|Cohere Embed English,cohere.embed-english-v3,0.1,,"2,000","300,000"
N.Virginia,Cohere Embed Multilingual,N.Virginia|Cohere Embed Multilingual,cohere.embed-multilingual-v3,0.1,,"2,000","300,000"
Oregon,Titan Embeddings - Text,Oregon|Titan Embeddings - Text,amazon.titan-embed-text-v1,0.1,,-,"2,000"
Oregon,Titan Embeddings V2 - Text,Oregon|Titan Embeddings V2 - Text,amazon.titan-embed-text-v2:0,0.02,,-,"2,000"
Oregon,Titan Embeddings - Multimodal,Oregon|Titan Embeddings - Multimodal,amazon.titan-embed-image-v1,0.8,0.06,0,"2,000"
Oregon,Cohere Embed English,Oregon|Cohere Embed English,cohere.embed-english-v3,0.1,,-,"2,000"
Oregon,Cohere Embed Multilingual,Oregon|Cohere Embed Multilingual,cohere.embed-multilingual-v3,0.1,,-,"2,000"
